kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KULINER,60.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN,54.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINUMAN,5.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,OBAT-OBATAN,1.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,AGRIBISNIS,0.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,AKSESORIS,0.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,BATIK,2.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,CRAFT,13.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,DEKORASI,1.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,MEBEL,,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,FASHION,8.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,INDUSTRI,8.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,JASA,3.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,KONVEKSI,51.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,KULINER,3.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN,43.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,MINUMAN,6.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,AGRIBISNIS,5.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,AKSESORIS,1.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,CRAFT,18.0,UNIT,2020
