id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
214,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BORDIR,0.0,UNIT,2020
215,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CRAFT,14.0,UNIT,2020
216,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEKORASI,,UNIT,2020
217,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MEBEL,,UNIT,2020
218,32,JAWA BARAT,3215,KABUPATEN KARAWANG,FASHION,7.0,UNIT,2020
219,32,JAWA BARAT,3215,KABUPATEN KARAWANG,INDUSTRI,3.0,UNIT,2020
220,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA,6.0,UNIT,2020
221,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONVEKSI,9.0,UNIT,2020
222,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KULINER,44.0,UNIT,2020
223,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN,80.0,UNIT,2020
224,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINUMAN,18.0,UNIT,2020
225,32,JAWA BARAT,3215,KABUPATEN KARAWANG,OBAT-OBATAN,1.0,UNIT,2020
226,32,JAWA BARAT,3216,KABUPATEN BEKASI,AGRIBISNIS,5.0,UNIT,2020
227,32,JAWA BARAT,3216,KABUPATEN BEKASI,AKSESORIS,1.0,UNIT,2020
228,32,JAWA BARAT,3216,KABUPATEN BEKASI,BATIK,3.0,UNIT,2020
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,BORDIR,1.0,UNIT,2020
230,32,JAWA BARAT,3216,KABUPATEN BEKASI,CRAFT,15.0,UNIT,2020
231,32,JAWA BARAT,3216,KABUPATEN BEKASI,DEKORASI,,UNIT,2020
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,MEBEL,,UNIT,2020
233,32,JAWA BARAT,3216,KABUPATEN BEKASI,FASHION,15.0,UNIT,2020
234,32,JAWA BARAT,3216,KABUPATEN BEKASI,INDUSTRI,1.0,UNIT,2020
235,32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA,2.0,UNIT,2020
236,32,JAWA BARAT,3216,KABUPATEN BEKASI,KONVEKSI,3.0,UNIT,2020
237,32,JAWA BARAT,3216,KABUPATEN BEKASI,KULINER,68.0,UNIT,2020
238,32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN,60.0,UNIT,2020
239,32,JAWA BARAT,3216,KABUPATEN BEKASI,MINUMAN,9.0,UNIT,2020
240,32,JAWA BARAT,3216,KABUPATEN BEKASI,OBAT-OBATAN,0.0,UNIT,2020
241,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AGRIBISNIS,7.0,UNIT,2020
242,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKSESORIS,0.0,UNIT,2020
243,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BATIK,0.0,UNIT,2020
244,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BORDIR,0.0,UNIT,2020
245,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CRAFT,30.0,UNIT,2020
246,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEKORASI,,UNIT,2020
247,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MEBEL,,UNIT,2020
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASHION,47.0,UNIT,2020
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,INDUSTRI,2.0,UNIT,2020
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA,18.0,UNIT,2020
251,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONVEKSI,3.0,UNIT,2020
252,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KULINER,73.0,UNIT,2020
253,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN,52.0,UNIT,2020
254,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINUMAN,8.0,UNIT,2020
255,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,OBAT-OBATAN,0.0,UNIT,2020
256,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AGRIBISNIS,0.0,UNIT,2020
257,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKSESORIS,0.0,UNIT,2020
258,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BATIK,0.0,UNIT,2020
259,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BORDIR,0.0,UNIT,2020
260,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CRAFT,23.0,UNIT,2020
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEKORASI,,UNIT,2020
262,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MEBEL,,UNIT,2020
263,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FASHION,13.0,UNIT,2020
264,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,INDUSTRI,4.0,UNIT,2020
265,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA,2.0,UNIT,2020
266,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONVEKSI,3.0,UNIT,2020
267,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KULINER,60.0,UNIT,2020
268,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN,54.0,UNIT,2020
269,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINUMAN,5.0,UNIT,2020
270,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,OBAT-OBATAN,1.0,UNIT,2020
271,32,JAWA BARAT,3271,KOTA BOGOR,AGRIBISNIS,0.0,UNIT,2020
