kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3273,KOTA BANDUNG,KONVEKSI,18097.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,KULINER,130687.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN,95586.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,MINUMAN,17733.0,UNIT,2017
32,JAWA BARAT,3273,KOTA BANDUNG,JASA/LAINNYA,41295.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,AKSESORIS,99.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,BATIK,99.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,BORDIR,14.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,CRAFT,3551.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,FASHION,3466.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,KONVEKSI,2116.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,KULINER,15284.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,MAKANAN,11179.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,MINUMAN,2074.0,UNIT,2017
32,JAWA BARAT,3274,KOTA CIREBON,JASA/LAINNYA,4830.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,AKSESORIS,502.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,BATIK,502.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,BORDIR,72.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,CRAFT,17926.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,FASHION,17496.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,KONVEKSI,10684.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,KULINER,77156.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,MAKANAN,56433.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,MINUMAN,10469.0,UNIT,2017
32,JAWA BARAT,3275,KOTA BEKASI,JASA/LAINNYA,24380.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,AKSESORIS,401.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,BATIK,401.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,BORDIR,57.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,CRAFT,14336.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,FASHION,13992.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,KONVEKSI,8544.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,KULINER,61703.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,MAKANAN,45130.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,MINUMAN,8372.0,UNIT,2017
32,JAWA BARAT,3276,KOTA DEPOK,JASA/LAINNYA,19497.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,AKSESORIS,141.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,BATIK,141.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,BORDIR,20.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,CRAFT,5024.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,FASHION,4904.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,KONVEKSI,2994.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,KULINER,21624.0,UNIT,2017
32,JAWA BARAT,3277,KOTA CIMAHI,MAKANAN,15816.0,UNIT,2017
